backend,seq_len,median_latency_s,median_ttft_s,decode_time_s,prefill_pct,decode_pct,median_tokens_per_sec,median_peak_memory_mb,std_latency_s,num_runs
flash,512,0.9245,0.0302,0.8943,3.3,96.7,138.46,718.89,0.0016,5
mem_efficient,512,0.9163,0.0305,0.8858,3.3,96.7,139.69,718.89,0.0015,5
math,512,1.2841,0.069,1.2151,5.4,94.6,99.68,738.77,0.0007,5
flash,1024,1.0755,0.0602,1.0153,5.6,94.4,119.01,761.79,0.0009,5
mem_efficient,1024,1.1028,0.061,1.0418,5.5,94.5,116.07,761.79,0.0011,5
math,1024,1.8147,0.208,1.6067,11.5,88.5,70.54,909.8,0.0009,5
flash,1800,1.3182,0.1138,1.2044,8.6,91.4,97.1,853.73,0.0017,5
mem_efficient,1800,1.3966,0.1157,1.2809,8.3,91.7,91.65,853.73,0.0015,5
math,1800,2.7514,0.5612,2.1902,20.4,79.6,46.52,1311.56,0.0012,5
