backend,seq_len,num_query_heads,num_kv_heads,head_dim,median_latency_ms,std_latency_ms,median_peak_memory_mb,batch_size,num_runs
flash,256,16,8,128,0.062,0.003,11.14,1,5
math,256,16,8,128,0.619,0.004,29.38,1,5
flash,512,16,8,128,0.117,0.003,14.16,1,5
math,512,16,8,128,2.014,0.012,69.13,1,5
flash,1024,16,8,128,0.343,0.008,20.19,1,5
math,1024,16,8,128,7.205,0.016,204.14,1,5
flash,2048,16,8,128,1.222,0.008,32.25,1,5
math,2048,16,8,128,27.045,0.035,696.16,1,5
