implementation,seq_len,actual_input_len,batch_size,max_new_tokens,median_latency_s,std_latency_s,median_tokens_per_sec,median_ttft_s,median_peak_memory_mb,num_runs
eager,512,512,1,32,0.554,0.0008,57.76,0.0916,1539.54,5
eager,512,512,1,64,1.0355,0.0017,61.81,0.0916,1539.54,5
eager,512,512,1,128,2.015,0.0015,63.52,0.0916,1539.54,5
eager,512,512,1,256,4.0429,0.0033,63.32,0.0917,1539.54,5
sdpa,512,512,1,32,0.4705,0.0011,68.01,0.0701,1529.86,5
sdpa,512,512,1,64,0.886,0.0048,72.24,0.0702,1529.86,5
sdpa,512,512,1,128,1.7235,0.0015,74.27,0.0699,1529.86,5
sdpa,512,512,1,256,3.4283,0.007,74.67,0.0701,1531.38,5
