io_ratio,implementation,seq_len,actual_input_len,batch_size,max_new_tokens,median_latency_s,std_latency_s,median_tokens_per_sec,median_ttft_s,median_peak_memory_mb,num_runs
128:512,eager,128,128,1,512,7.2302,0.0104,70.81,0.0209,1531.92,5
512:128,eager,512,512,1,128,2.0145,0.0012,63.54,0.0919,1539.54,5
1024:64,eager,1024,1024,1,64,1.3452,0.0007,47.58,0.2234,1702.31,5
1800:32,eager,1800,1800,1,32,1.2564,0.0017,25.47,0.5774,2075.59,5
128:512,sdpa,128,128,1,512,6.443,0.004,79.47,0.0197,1529.85,5
512:128,sdpa,512,512,1,128,1.7237,0.0023,74.26,0.07,1529.86,5
1024:64,sdpa,1024,1024,1,64,1.0361,0.0023,61.77,0.1422,1580.31,5
1800:32,sdpa,1800,1800,1,32,0.7458,0.0014,42.91,0.2525,1686.28,5
