backend,seq_len,level,median_latency_s,median_tokens_per_sec,median_peak_memory_mb,median_ttft_s,num_runs
flash,256,e2e,1.6318,78.44,1485.13,0.0349,5
math,256,e2e,2.189,58.47,1497.16,0.0514,5
flash,512,e2e,1.7331,73.86,1529.86,0.0701,5
math,512,e2e,2.7377,46.75,1560.05,0.1243,5
flash,1024,e2e,1.9578,65.38,1580.31,0.1421,5
math,1024,e2e,3.9639,32.29,1752.33,0.3366,5
flash,1800,e2e,2.2867,55.98,1687.0,0.2527,5
math,1800,e2e,6.1805,20.71,2187.07,0.831,5
