backend,seq_len,max_new_tokens,median_latency_s,std_latency_s,median_ttft_s,decode_time_s,tokens_per_sec,decode_tok_per_sec,median_peak_memory_mb,prefill_pct,decode_pct
flash,256,64,0.8122,0.003,0.0347,0.7774,78.8,82.32,1478.13,4.3,95.7
math,256,64,1.0757,0.0012,0.0506,1.0251,59.5,62.44,1491.66,4.7,95.3
flash,512,64,0.882,0.0443,0.0693,0.8127,72.56,78.75,1529.85,7.9,92.1
math,512,64,1.3862,0.0015,0.1233,1.2629,46.17,50.68,1560.04,8.9,91.1
flash,1024,64,1.0322,0.002,0.1404,0.8918,62.01,71.77,1580.31,13.6,86.4
math,1024,64,2.0933,0.0009,0.3342,1.7592,30.57,36.38,1752.32,16.0,84.0
flash,1800,64,1.2512,0.0028,0.2504,1.0008,51.15,63.95,1686.98,20.0,80.0
math,1800,64,3.4431,0.0019,0.8277,2.6154,18.59,24.47,2187.06,24.0,76.0
